##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
193.5727, 244.7344
194.0548, 268.0933
194.5369, 292.4067
195.0190, 298.8984
195.5011, 271.5962
195.9832, 215.4453
196.4654, 184.7695
196.9475, 183.4507
197.4296, 198.2402
197.9117, 215.4009
198.3938, 236.1899
198.8759, 247.7861
199.3581, 242.0952
199.8402, 218.3540
200.3223, 195.3984
200.8044, 172.4497
201.2865, 151.3970
201.7686, 136.9883
202.2508, 131.0112
202.7329, 124.5830
203.2150, 110.4268
203.6971, 86.17480
204.1792, 75.48193
204.6613, 84.55957
205.1435, 104.1992
205.6256, 109.4780
206.1077, 97.64062
206.5898, 80.02734
207.0719, 60.46729
207.5540, 36.29150
208.0362, 41.47559
208.5183, 64.56641
209.0004, 99.69873
209.4825, 121.7012
209.9646, 126.5327
210.4467, 127.4097
210.9288, 136.1689
211.4110, 158.4800
211.8931, 166.5542
212.3752, 147.9639
212.8573, 108.6406
213.3394, 104.4414
213.8215, 152.9551
214.3037, 209.0054
214.7858, 228.7085
215.2679, 195.7944
215.7500, 174.8970
216.2321, 180.9585
216.7142, 213.4370
217.1964, 241.2314
217.6785, 262.7065
218.1606, 281.3423
218.6427, 302.4902
219.1248, 331.3711
219.6069, 350.5664
220.0891, 353.6592
220.5712, 338.7349
221.0533, 325.4941
221.5354, 315.1309
222.0175, 305.8311
222.4996, 294.8813
222.9818, 277.9492
223.4639, 268.3403
223.9460, 270.9429
224.4281, 288.1235
224.9102, 305.7578
225.3923, 324.8667
225.8745, 343.2617
226.3566, 356.7783
226.8387, 362.6621
227.3208, 369.0273
227.8029, 380.5981
228.2850, 403.0210
228.7672, 410.1738
229.2493, 394.2344
229.7314, 366.3931
230.2135, 349.8477
230.6956, 349.4951
231.1777, 352.6699
231.6599, 354.5566
232.1420, 354.0518
232.6241, 351.9424
233.1062, 347.5674
233.5883, 342.0020
234.0704, 332.4678
234.5526, 311.6899
235.0347, 301.9365
235.5168, 314.7285
235.9989, 363.7739
236.4810, 399.3853
236.9631, 420.7710
237.4453, 427.7617
237.9274, 416.2578
238.4095, 370.4053
238.8916, 328.2788
239.3737, 310.9009
239.8558, 332.3193
240.3380, 349.9761
240.8201, 361.7393
241.3022, 368.2808
241.7843, 371.6680
242.2664, 370.3521
242.7485, 367.7061
243.2307, 364.8584
243.7128, 358.9688
244.1949, 359.5625
244.6770, 373.4399
245.1591, 396.3496
245.6412, 396.9263
246.1233, 352.4092
246.6055, 313.5737
247.0876, 319.7715
247.5697, 406.6279
248.0518, 462.9600
248.5339, 467.5771
249.0160, 426.4893
249.4982, 400.1099
249.9803, 396.0166
250.4624, 397.2368
250.9445, 387.5732
251.4266, 350.9082
251.9087, 341.6841
252.3909, 381.4893
252.8730, 464.8110
253.3551, 502.0845
253.8372, 467.5850
254.3193, 419.9448
254.8014, 412.6870
255.2836, 470.0698
255.7657, 508.5308
256.2478, 506.8940
256.7299, 467.9609
257.2120, 452.2358
257.6941, 468.9590
258.1762, 496.8994
258.6584, 517.8735
259.1405, 531.0840
259.6226, 539.2158
260.1047, 543.3457
260.5868, 543.2104
261.0689, 531.6157
261.5511, 500.6128
262.0332, 470.4243
262.5153, 463.2715
262.9974, 488.4824
263.4795, 510.3853
263.9616, 521.5894
264.4438, 522.3047
264.9259, 517.8481
265.4080, 503.7979
265.8901, 492.0063
266.3722, 499.7715
266.8543, 537.3081
267.3365, 558.8184
267.8186, 549.3320
268.3007, 509.9438
268.7828, 477.4346
269.2649, 447.4414
269.7470, 431.3188
270.2292, 449.0093
270.7113, 512.9077
271.1934, 560.6938
271.6755, 576.2046
272.1576, 561.9893
272.6397, 537.9688
273.1219, 497.3613
273.6040, 455.9888
274.0861, 433.3516
274.5682, 432.7422
275.0503, 430.4360
275.5324, 416.7378
276.0146, 394.0308
276.4967, 390.3960
276.9788, 410.9990
277.4609, 437.6064
277.9430, 446.3584
278.4251, 434.4482
278.9073, 425.5312
279.3894, 429.7554
279.8715, 443.8687
280.3536, 441.7529
280.8357, 419.3950
281.3178, 394.3613
281.8000, 389.6777
282.2821, 406.0581
282.7642, 416.4795
283.2463, 411.2510
283.7284, 395.0444
284.2105, 379.4155
284.6927, 361.6006
285.1747, 348.5547
285.6569, 355.8452
286.1390, 381.9053
286.6211, 396.2295
287.1032, 384.0244
287.5853, 353.8115
288.0674, 335.3618
288.5496, 329.6196
289.0317, 328.2222
289.5138, 322.6592
289.9959, 313.6504
290.4780, 306.4819
290.9601, 302.9189
291.4423, 303.0830
291.9244, 304.9341
292.4065, 307.7227
292.8886, 311.4204
293.3707, 320.1211
293.8528, 331.4839
294.3350, 334.2070
294.8171, 318.9365
295.2992, 296.4067
295.7813, 285.3740
296.2634, 286.0005
296.7455, 292.0767
297.2277, 299.5938
297.7098, 308.3901
298.1919, 318.7407
298.6740, 337.0249
299.1561, 352.0381
299.6382, 340.9741
300.1204, 305.6929
300.6025, 272.6245
301.0846, 263.9214
301.5667, 271.2690
302.0488, 277.9341
302.5309, 285.2163
303.0131, 285.3613
303.4952, 256.7793
303.9773, 203.3379
304.4594, 163.5264
304.9415, 181.0415
305.4236, 223.3452
305.9058, 243.4556
306.3879, 215.6177
306.8700, 176.6206
307.3521, 159.4521
307.8342, 163.5122
308.3163, 169.8403
308.7985, 157.3760
309.2806, 140.6392
309.7627, 138.6309
310.2448, 175.0645
310.7269, 204.3413
311.2090, 181.7285
311.6912, 121.5386
312.1733, 78.98877
312.6554, 102.2495
313.1375, 144.6577
313.6196, 167.8774
314.1017, 155.7842
314.5839, 133.8057
315.0660, 107.7046
315.5481, 80.14844
316.0302, 58.29785
316.5123, 37.55615
316.9944, 27.98730
317.4766, 40.00342
317.9586, 97.94287
318.4408, 136.8999
318.9229, 121.0356
319.4050, 70.40137
319.8871, 33.01758
320.3692, 27.13818
320.8513, 33.39990
321.3335, 44.95996
321.8156, 68.98193
322.2977, 81.73730
322.7798, 70.16162
323.2619, 46.80420
323.7440, 32.69287
324.2262, 37.02148
324.7083, 43.39600
325.1904, 47.33984
325.6725, 47.25342
326.1546, 48.28027
326.6367, 55.80762
327.1189, 64.21875
327.6010, 62.43994
328.0831, 42.86084
328.5652, 21.38135
329.0473, 1.309082
329.5294, 31.05957
330.0116, 40.12061
330.4937, 17.82471
330.9758, 19.67822
331.4579, 52.82080
331.9400, 89.94189
332.4221, 109.5347
332.9043, 102.1284
333.3864, 64.23535
333.8685, 31.45752
334.3506, 0.1909180
334.8327, 21.90576
335.3148, 19.91504
335.7970, 17.42480
336.2791, 47.57959
336.7612, 58.13525
337.2433, 49.73340
337.7254, 47.69287
338.2076, 58.10352
338.6897, 68.28369
339.1718, 65.68799
339.6539, 49.05615
340.1360, 28.08740
340.6181, 0.6147460
341.1003, 28.73828
341.5824, 36.67432
342.0645, 20.63037
342.5466, 4.422852
343.0287, 32.53271
343.5108, 61.42822
343.9930, 73.84473
344.4751, 65.00830
344.9572, 45.33838
345.4393, 35.20166
345.9214, 34.86670
346.4035, 36.70312
346.8857, 37.24756
347.3678, 36.01318
347.8499, 29.22607
348.3320, 13.36279
348.8141, 3.865234
349.2962, 9.746582
349.7784, 4.805176
350.2605, 3.546875
350.7426, 15.06982
351.2247, 26.13525
351.7068, 28.02246
352.1889, 17.38721
352.6710, 8.311035
353.1531, 20.05908
353.6353, 44.71826
354.1174, 62.28271
354.5995, 56.67822
355.0816, 42.42188
355.5637, 34.87256
356.0458, 35.52100
356.5280, 35.20508
357.0101, 22.32666
357.4922, 5.492188
357.9743, 2.641602
358.4564, 17.36133
358.9385, 36.19385
359.4207, 33.24561
359.9028, 8.135742
360.3849, 15.82031
360.8670, 34.26465
361.3491, 44.29199
361.8312, 43.15234
362.3134, 19.42236
362.7955, 5.010742
363.2776, 30.69287
363.7597, 55.19336
364.2418, 59.22803
364.7239, 8.679199
365.2061, 45.05762
365.6882, 69.62793
366.1703, 37.55518
366.6524, 4.245605
367.1345, 31.17188
367.6166, 65.52393
368.0988, 86.81738
368.5809, 86.32520
369.0630, 80.22900
369.5451, 74.77881
370.0272, 72.48877
370.5093, 65.72363
370.9915, 48.10156
371.4736, 28.11230
371.9557, 26.04248
372.4378, 54.71777
372.9199, 78.62305
373.4020, 83.34424
373.8842, 64.27686
374.3663, 52.51855
374.8484, 50.18066
375.3305, 52.39893
375.8126, 52.65381
376.2947, 50.26904
376.7769, 48.21094
377.2590, 46.91113
377.7411, 46.55273
378.2232, 50.53369
378.7053, 61.33643
379.1874, 67.05225
379.6696, 48.29346
380.1517, 7.665527
380.6338, 19.00244
381.1159, 21.30957
381.5980, 5.584473
382.0801, 22.02344
382.5623, 60.85645
383.0444, 87.71094
383.5265, 71.19287
384.0086, 28.48779
384.4907, 5.117188
384.9728, 12.61768
385.4549, 33.87744
385.9370, 53.54932
386.4192, 70.60547
386.9013, 80.62012
387.3834, 77.19678
387.8655, 66.15283
388.3476, 54.27588
388.8297, 40.64600
389.3119, 28.86230
389.7940, 22.21143
390.2761, 19.14307
390.7582, 16.85059
391.2403, 14.76074
391.7224, 12.45264
392.2046, 10.13232
392.6867, 7.274902
393.1688, 2.769531
393.6509, 12.73389
394.1330, 26.17090
394.6151, 24.72412
395.0973, 16.91406
395.5794, 51.19043
396.0615, 60.53320
396.5436, 47.62842
397.0257, 43.33350
397.5078, 67.75146
397.9900, 90.72314
398.4721, 95.13184
398.9542, 65.21094
399.4363, 34.04883
399.9184, 5.385254
400.4005, 43.60986
400.8827, 53.02930
401.3648, 11.34521
401.8469, 27.38330
402.3290, 39.83887
402.8111, 17.52686
403.2932, 2.299805
403.7754, 3.466309
404.2575, 4.518555
404.7396, 9.532959
405.2217, 21.28198
405.7038, 24.10107
406.1859, 8.604980
406.6681, 21.40674
407.1502, 36.01562
407.6323, 33.48486
408.1144, 26.43408
408.5965, 22.30151
409.0786, 21.76050
409.5608, 36.88037
410.0429, 80.61499
410.5250, 130.7642
411.0071, 137.0764
411.4892, 102.4988
411.9713, 66.81958
412.4535, 58.36670
412.9356, 67.38892
413.4177, 76.47559
413.8998, 83.57642
414.3819, 88.63550
414.8640, 90.26440
415.3462, 89.22168
415.8283, 88.56885
416.3104, 97.27881
416.7925, 103.6873
417.2746, 93.51245
417.7567, 63.21655
418.2388, 41.48779
418.7209, 54.54004
419.2031, 82.03247
419.6852, 100.3044
420.1673, 89.40161
420.6494, 84.19238
421.1315, 102.4238
421.6136, 140.3774
422.0958, 163.7056
422.5779, 143.2068
423.0600, 117.9268
423.5421, 114.0510
424.0242, 177.5171
424.5063, 213.6304
424.9885, 207.3396
425.4706, 172.7168
425.9527, 145.6870
426.4348, 118.5291
426.9169, 109.8547
427.3990, 134.6079
427.8812, 204.7764
428.3633, 237.6631
428.8454, 219.3933
429.3275, 181.9094
429.8096, 167.4246
430.2917, 180.6226
430.7739, 189.8806
431.2560, 183.1514
431.7381, 166.0332
432.2202, 167.9619
432.7023, 191.4092
433.1844, 212.3176
433.6666, 203.8784
434.1487, 173.4307
434.6308, 157.1025
435.1129, 163.5706
435.5950, 181.4285
436.0771, 152.0500
436.5593, 188.4246
437.0414, 209.7766
437.5235, 216.5613
438.0056, 178.9324
438.4877, 185.3633
438.9698, 166.7422
439.4520, 143.5610
439.9341, 175.6907
440.4162, 197.1965
440.8983, 206.2087
441.3804, 168.4724
441.8625, 132.7397
442.3447, 127.5266
442.8268, 151.1506
443.3089, 169.6987
443.7910, 168.4180
444.2731, 160.7708
444.7552, 155.3572
445.2374, 158.1777
445.7195, 156.5859
446.2016, 148.1079
446.6837, 134.3201
447.1658, 118.4561
447.6479, 92.02930
448.1301, 74.64746
448.6122, 75.70459
449.0943, 100.5254
449.5764, 113.3601
450.0585, 108.8911
450.5406, 99.20728
451.0227, 101.2673
451.5049, 119.9626
451.9870, 121.1113
452.4691, 91.48926
452.9512, 43.87891
453.4333, 20.68506
453.9154, 23.61670
454.3976, 31.12891
454.8797, 21.84790
455.3618, 2.150879
455.8439, 7.283936
456.3260, 47.62476
456.8081, 91.94263
457.2903, 98.66797
457.7724, 74.91406
458.2545, 44.79883
458.7366, 11.04688
459.2187, 11.46069
459.7008, 2.616943
460.1830, 36.46143
460.6651, 68.49512
461.1472, 61.88184
461.6293, 38.47485
462.1114, 21.23364
462.5935, 9.224121
463.0757, 12.68140
463.5578, 57.40649
464.0399, 125.9131
464.5220, 160.6843
465.0041, 105.4646
465.4862, 46.23828
465.9684, 21.97485
466.4505, 52.15234
466.9326, 74.64648
467.4147, 86.36377
467.8968, 90.55591
468.3789, 89.77417
468.8611, 78.25708
469.3432, 73.14331
469.8253, 82.51514
470.3074, 102.9719
470.7895, 102.0938
471.2716, 71.34570
471.7538, 42.52173
472.2359, 42.16431
472.7180, 70.72705
473.2001, 91.76440
473.6822, 101.6694
474.1643, 103.5938
474.6465, 99.80859
475.1286, 91.14771
475.6107, 84.58203
476.0928, 81.66406
476.5749, 83.41724
477.0570, 96.84937
477.5392, 121.8738
478.0213, 139.3806
478.5034, 126.9937
478.9855, 99.91162
479.4676, 78.54126
479.9497, 70.19775
480.4319, 66.54517
480.9140, 62.58252
481.3961, 59.42651
481.8782, 59.94434
482.3603, 68.65112
482.8424, 78.54028
483.3245, 84.92212
483.8066, 85.08081
484.2888, 91.11865
484.7709, 118.4414
485.2530, 145.8374
485.7351, 150.8115
486.2172, 109.0239
486.6993, 81.04712
487.1815, 78.61499
487.6636, 97.34277
488.1457, 114.3354
488.6278, 131.4387
489.1099, 142.9565
489.5920, 140.2397
490.0742, 120.5317
490.5563, 124.3914
491.0384, 159.3972
491.5205, 201.8188
492.0026, 218.5266
492.4847, 211.1863
492.9669, 192.8564
493.4490, 157.5298
493.9311, 120.5344
494.4132, 111.4917
494.8953, 129.1243
495.3774, 157.1096
495.8596, 203.1333
496.3417, 245.2317
496.8238, 248.0291
497.3059, 189.0757
497.7880, 135.8225
498.2701, 137.6345
498.7523, 172.4534
499.2344, 201.1023
499.7165, 205.3594
500.1986, 205.8550
500.6807, 213.1099
501.1628, 228.0317
501.6450, 232.0952
502.1271, 203.7341
502.6092, 177.1221
503.0913, 175.1475
503.5734, 222.6509
504.0555, 249.7903
504.5377, 248.1284
505.0198, 228.1458
505.5019, 209.7646
505.9840, 190.2854
506.4661, 181.2129
506.9482, 194.3320
507.4304, 225.0078
507.9125, 223.8425
508.3946, 185.9966
508.8767, 145.0254
509.3588, 131.7422
509.8409, 142.1328
510.3231, 162.2292
510.8052, 193.4646
511.2873, 223.9734
511.7694, 238.3384
512.2515, 239.5024
512.7336, 236.3784
513.2158, 228.5771
513.6979, 221.8293
514.1800, 220.4314
514.6621, 224.7214
515.1442, 234.0066
515.6263, 263.9712
516.1085, 290.4849
516.5906, 292.9185
517.0727, 235.6287
517.5548, 190.5034
518.0369, 170.5037
518.5190, 170.9275
519.0012, 176.3877
519.4833, 189.4587
519.9654, 204.6956
520.4475, 224.0486
520.9296, 248.9553
521.4117, 250.4480
521.8939, 218.7380
522.3760, 182.2385
522.8581, 168.2310
523.3402, 177.1931
523.8223, 191.6562
524.3044, 210.9983
524.7866, 230.8955
525.2687, 242.4426
525.7508, 246.4866
526.2329, 249.2139
526.7150, 260.8547
527.1971, 270.3867
527.6793, 254.4585
528.1614, 212.2061
528.6435, 177.3591
529.1256, 178.8984
529.6077, 198.4761
530.0898, 215.7817
530.5720, 225.8613
531.0541, 232.2637
531.5362, 233.5476
532.0182, 232.0632
532.5004, 233.0750
532.9825, 243.7378
533.4646, 251.2283
533.9467, 252.4055
534.4288, 247.5793
534.9109, 232.0432
535.3931, 190.6997
535.8752, 156.3379
536.3573, 162.0789
536.8394, 225.2478
537.3215, 248.4238
537.8036, 206.9902
538.2858, 140.4927
538.7679, 136.0874
539.2500, 192.6350
539.7321, 247.2666
540.2142, 272.2329
540.6964, 275.3762
541.1785, 273.5696
541.6606, 266.7402
542.1427, 254.6499
542.6248, 232.3687
543.1069, 206.1250
543.5891, 182.6243
544.0712, 160.1931
544.5533, 148.4707
545.0354, 162.6050
545.5175, 189.5566
545.9996, 206.8835
546.4818, 202.0278
546.9639, 192.5981
547.4460, 183.4915
547.9281, 174.9297
548.4102, 164.5967
548.8923, 147.3669
549.3745, 133.6172
549.8566, 131.4358
550.3387, 150.6306
550.8208, 149.1914
551.3029, 116.5432
551.7850, 78.00415
552.2672, 76.53076
552.7493, 114.5530
553.2314, 139.9001
553.7135, 130.2266
554.1956, 102.7490
554.6777, 100.5264
555.1599, 121.0088
555.6420, 140.9482
556.1241, 146.6665
556.6062, 141.6814
557.0883, 127.8467
557.5704, 103.8538
558.0526, 82.57812
558.5347, 78.01123
559.0168, 78.62549
559.4989, 71.19727
559.9810, 31.95361
560.4631, 5.735107
560.9453, 16.30542
561.4274, 52.12061
561.9095, 70.09961
562.3916, 51.85449
562.8737, 35.96851
563.3558, 35.92334
563.8380, 53.27026
564.3201, 66.26611
564.8022, 74.28833
565.2843, 78.79199
565.7664, 77.81470
566.2485, 71.80249
566.7307, 71.70288
567.2128, 81.41016
567.6949, 91.72363
568.1770, 85.70728
568.6591, 68.47314
569.1412, 52.44263
569.6234, 43.36646
570.1055, 40.99438
570.5876, 41.42139
571.0697, 43.65454
571.5518, 48.30200
572.0339, 62.50122
572.5161, 75.48999
572.9982, 76.79248
573.4803, 57.13257
573.9624, 44.96851
574.4445, 56.98315
574.9266, 76.46875
575.4088, 81.32617
575.8909, 64.16748
576.3730, 43.48242
576.8551, 16.10010
577.3372, 13.46777
577.8193, 21.96313
578.3015, 4.045166
578.7836, 16.74170
579.2657, 28.47729
579.7478, 32.02563
580.2299, 36.72607
580.7120, 43.35376
581.1942, 45.35083
581.6763, 31.73145
582.1584, 9.192139
582.6405, 7.550781
583.1226, 14.23462
583.6047, 14.86304
584.0869, 13.95850
584.5690, 10.00562
585.0511, 0.2136230
585.5332, 34.43970
586.0153, 62.80737
586.4974, 70.61182
586.9796, 58.26294
587.4617, 43.05029
587.9438, 14.98462
588.4259, 4.083496
588.9080, 0.4636230
589.3901, 40.83130
589.8723, 59.88794
590.3544, 48.80908
590.8365, 26.72681
591.3186, 20.52759
591.8007, 31.28003
592.2828, 33.53613
592.7650, 16.80029
593.2471, 6.461182
593.7292, 7.654297
594.2113, 9.573975
594.6934, 26.56616
595.1755, 30.05151
595.6577, 29.04175
596.1398, 36.50000
596.6219, 52.99365
597.1040, 62.84302
597.5861, 42.06128
598.0682, 18.42603
598.5503, 17.17212
599.0324, 65.51416
599.5145, 99.37451
599.9966, 102.6484
600.4788, 88.42969
600.9609, 74.36694
601.4430, 57.94922
601.9251, 46.45874
602.4072, 41.57544
602.8893, 42.59985
603.3715, 48.11133
603.8536, 59.08203
604.3357, 67.41724
604.8178, 67.10791
605.2999, 60.25854
605.7820, 54.83887
606.2642, 51.09497
606.7463, 46.72827
607.2284, 39.09766
607.7105, 29.67480
608.1926, 19.39624
608.6747, 5.794434
609.1569, 1.980957
609.6390, 4.230225
610.1211, 19.03442
610.6032, 33.52661
611.0853, 48.25342
611.5674, 59.55469
612.0496, 66.95288
612.5317, 70.36963
613.0138, 67.95508
613.4959, 57.50879
613.9780, 45.00195
614.4601, 31.07935
614.9423, 15.15210
615.4244, 12.04810
615.9065, 24.07031
616.3886, 39.75269
616.8707, 49.64307
617.3528, 53.63306
617.8350, 50.33887
618.3171, 38.24878
618.7992, 22.13013
619.2813, 3.510742
619.7634, 15.35596
620.2455, 29.47192
620.7277, 41.04492
621.2098, 42.95703
621.6919, 22.52954
622.1740, 14.91382
622.6561, 36.01831
623.1382, 23.56812
623.6204, 3.593018
624.1025, 18.69995
624.5846, 48.62500
625.0667, 45.86157
625.5488, 7.886719
626.0309, 62.21851
626.5131, 61.67993
626.9952, 5.496338
627.4773, 27.99731
627.9594, 25.25586
628.4415, 5.859619
628.9236, 4.676758
629.4058, 8.748291
629.8879, 13.34277
630.3700, 17.88428
630.8521, 27.08691
631.3342, 55.57910
631.8163, 95.14014
632.2985, 113.7246
632.7806, 76.75366
633.2627, 34.00415
633.7448, 8.534424
634.2269, 3.852783
634.7090, 5.708252
635.1912, 16.36450
635.6733, 29.72900
636.1554, 43.97070
636.6375, 61.33643
637.1196, 65.86743
637.6017, 51.23804
638.0839, 35.27002
638.5660, 53.93359
639.0481, 100.5659
639.5302, 123.1792
640.0123, 97.27441
640.4944, 52.87231
640.9766, 21.20020
641.4587, 3.155273
641.9408, 0.4174800
642.4229, 36.58691
642.9050, 70.55933
643.3871, 68.06299
643.8693, 26.51318
644.3514, 1.630615
644.8335, 17.36938
645.3156, 44.04541
645.7977, 67.80103
646.2798, 91.35400
646.7620, 101.3813
647.2441, 92.77930
647.7262, 77.81152
648.2083, 70.53369
648.6904, 71.01929
649.1725, 70.36084
649.6547, 66.81274
650.1368, 62.05933
650.6189, 60.58105
651.1010, 60.20557
651.5831, 55.02539
652.0652, 34.97095
652.5474, 15.07617
653.0295, 10.35107
653.5116, 17.26709
653.9937, 20.91431
654.4758, 3.260986
654.9579, 8.655029
655.4401, 0.9152830
655.9222, 36.99902
656.4043, 67.65723
656.8864, 94.24146
657.3685, 113.3914
657.8506, 123.4634
658.3328, 124.7498
658.8149, 111.8579
659.2970, 79.79565
659.7791, 46.57495
660.2612, 35.17920
660.7433, 42.15820
661.2255, 55.41040
661.7076, 74.38843
662.1897, 93.48608
662.6718, 109.2087
663.1539, 120.5996
663.6360, 125.9067
664.1181, 118.4189
664.6002, 110.2271
665.0823, 107.9009
665.5645, 110.7544
666.0466, 108.3174
666.5287, 91.95264
667.0108, 80.56274
667.4929, 83.92285
667.9750, 102.8135
668.4572, 115.6045
668.9393, 122.2720
669.4214, 123.5129
669.9035, 117.1902
670.3856, 105.3167
670.8677, 96.82300
671.3499, 93.33862
671.8320, 91.78467
672.3141, 89.87109
672.7962, 87.41406
673.2783, 84.08960
673.7604, 78.40942
674.2426, 74.72681
674.7247, 72.76465
675.2068, 73.04590
675.6889, 75.44141
676.1710, 79.75732
676.6531, 86.62793
677.1353, 98.04126
677.6174, 111.8962
678.0995, 117.0867
678.5816, 110.9846
679.0637, 103.8997
679.5458, 106.6165
680.0280, 115.7336
680.5101, 103.3669
680.9922, 69.55078
681.4743, 44.06543
681.9564, 61.02319
682.4385, 95.31470
682.9207, 118.7266
683.4028, 129.8926
683.8849, 132.1902
684.3670, 118.2803
684.8491, 100.1038
685.3312, 89.19995
685.8134, 104.7581
686.2955, 110.0583
686.7776, 97.77344
687.2597, 77.33154
687.7418, 64.24536
688.2239, 57.98877
688.7061, 64.46484
689.1882, 92.55933
689.6703, 126.4048
690.1524, 125.7007
690.6345, 95.50732
691.1166, 65.98315
691.5988, 51.03540
692.0809, 45.76831
692.5630, 49.26245
693.0451, 60.47803
693.5272, 69.02637
694.0093, 65.66064
694.4915, 61.88892
694.9736, 65.22827
695.4557, 78.96436
695.9378, 86.12378
696.4199, 84.77075
696.9020, 79.75024
697.3842, 71.75439
697.8663, 59.56860
698.3484, 64.16064
698.8305, 92.24048
699.3126, 114.9006
699.7947, 78.71045
700.2769, 10.63232
700.7590, 16.89941
701.2411, 31.68091
701.7232, 91.52271
702.2053, 114.1731
702.6874, 112.4536
703.1696, 105.1191
703.6517, 87.36646
704.1338, 75.43359
704.6159, 79.96191
705.0980, 94.31738
705.5801, 95.08691
706.0623, 76.08667
706.5444, 57.37305
707.0265, 42.42407
707.5086, 33.30933
707.9907, 47.71118
708.4728, 85.85938
708.9550, 119.3367
709.4371, 129.6077
709.9192, 122.1597
710.4013, 97.71143
710.8834, 57.30884
711.3655, 31.88818
711.8477, 58.48706
712.3298, 94.44824
712.8119, 105.4136
713.2940, 74.26294
713.7761, 56.28638
714.2582, 64.76904
714.7404, 78.03027
715.2225, 73.36670
715.7046, 42.61450
716.1867, 34.18188
716.6688, 58.71606
717.1509, 93.05957
717.6331, 98.11768
718.1152, 81.20947
718.5973, 73.60352
719.0794, 92.03711
719.5615, 110.4136
720.0436, 98.22559
720.5258, 67.47144
721.0079, 43.48608
721.4900, 37.01880
721.9721, 38.26929
722.4542, 53.34937
722.9363, 75.82031
723.4185, 73.79175
723.9006, 28.85474
724.3827, 5.326172
724.8648, 5.924561
725.3469, 21.10205
725.8290, 33.98071
726.3112, 32.23511
726.7933, 33.25171
727.2754, 59.72974
727.7575, 92.48730
728.2396, 92.65942
728.7217, 59.08105
729.2039, 32.90503
729.6859, 55.26318
730.1680, 83.13672
730.6501, 78.76709
731.1323, 16.15576
731.6144, 12.91992
732.0965, 21.39038
732.5786, 67.88867
733.0607, 83.49097
733.5428, 63.26782
734.0250, 39.56201
734.5071, 12.16602
734.9892, 10.84180
735.4713, 16.77051
735.9534, 9.139893
736.4355, 1.020752
736.9177, 5.439453
737.3998, 15.99561
737.8819, 61.99609
738.3640, 121.3003
738.8461, 156.4832
739.3282, 134.9951
739.8104, 112.3755
740.2925, 99.35449
740.7746, 94.41919
741.2567, 97.01562
